Pair	ROI	Y
P50	17Networks_LH_VisCent_ExStr_4	-0.1196
P51	17Networks_LH_VisCent_ExStr_4	-0.0750
P52	17Networks_LH_VisCent_ExStr_4	0.1557
P53	17Networks_LH_VisCent_ExStr_4	-0.2281
P54	17Networks_LH_VisCent_ExStr_4	0.5815
P55	17Networks_LH_VisCent_ExStr_4	1.1636
P56	17Networks_LH_VisCent_ExStr_4	-0.2867
P57	17Networks_LH_VisCent_ExStr_4	0.3027
P58	17Networks_LH_VisCent_ExStr_4	0.6694
P59	17Networks_LH_VisCent_ExStr_4	0.0567
P60	17Networks_LH_VisCent_ExStr_4	-0.4329
P00	17Networks_LH_VisCent_ExStr_5	0.4997
P01	17Networks_LH_VisCent_ExStr_5	-0.3965
P02	17Networks_LH_VisCent_ExStr_5	0.0422
P03	17Networks_LH_VisCent_ExStr_5	-0.0377
P04	17Networks_LH_VisCent_ExStr_5	0.2142
P05	17Networks_LH_VisCent_ExStr_5	-0.3297
P06	17Networks_LH_VisCent_ExStr_5	0.3025
P07	17Networks_LH_VisCent_ExStr_5	-0.2437
P08	17Networks_LH_VisCent_ExStr_5	0.9172
P09	17Networks_LH_VisCent_ExStr_5	-0.3224
P10	17Networks_LH_VisCent_ExStr_5	0.3140
P11	17Networks_LH_VisCent_ExStr_5	-0.2868
P12	17Networks_LH_VisCent_ExStr_5	-2.1464
P13	17Networks_LH_VisCent_ExStr_5	-1.0126
P14	17Networks_LH_VisCent_ExStr_5	-0.6796
P15	17Networks_LH_VisCent_ExStr_5	-0.2991
P16	17Networks_LH_VisCent_ExStr_5	0.7089
P18	17Networks_LH_VisCent_ExStr_5	-0.0127
P19	17Networks_LH_VisCent_ExStr_5	-0.4991
P20	17Networks_LH_VisCent_ExStr_5	0.0996
P21	17Networks_LH_VisCent_ExStr_5	0.2073
P22	17Networks_LH_VisCent_ExStr_5	-0.8347
P23	17Networks_LH_VisCent_ExStr_5	0.0408
P24	17Networks_LH_VisCent_ExStr_5	-0.9267
P25	17Networks_LH_VisCent_ExStr_5	-0.2801
P26	17Networks_LH_VisCent_ExStr_5	-0.6485
P27	17Networks_LH_VisCent_ExStr_5	0.4515
P28	17Networks_LH_VisCent_ExStr_5	0.6681
P29	17Networks_LH_VisCent_ExStr_5	-0.1531
P30	17Networks_LH_VisCent_ExStr_5	0.2530
P31	17Networks_LH_VisCent_ExStr_5	-0.0608
P32	17Networks_LH_VisCent_ExStr_5	0.1455
P33	17Networks_LH_VisCent_ExStr_5	-0.3945
P34	17Networks_LH_VisCent_ExStr_5	0.1946
P35	17Networks_LH_VisCent_ExStr_5	0.0941
P36	17Networks_LH_VisCent_ExStr_5	0.5242
P37	17Networks_LH_VisCent_ExStr_5	0.0813
P38	17Networks_LH_VisCent_ExStr_5	-0.2576
P39	17Networks_LH_VisCent_ExStr_5	-0.0219
P40	17Networks_LH_VisCent_ExStr_5	0.0808
P41	17Networks_LH_VisCent_ExStr_5	-0.3154
P42	17Networks_LH_VisCent_ExStr_5	-0.4051
P43	17Networks_LH_VisCent_ExStr_5	0.4419
P44	17Networks_LH_VisCent_ExStr_5	-0.1096
P45	17Networks_LH_VisCent_ExStr_5	0.2388
P46	17Networks_LH_VisCent_ExStr_5	-0.1277
P47	17Networks_LH_VisCent_ExStr_5	-0.3025
P48	17Networks_LH_VisCent_ExStr_5	0.5106
P49	17Networks_LH_VisCent_ExStr_5	-0.2975
P50	17Networks_LH_VisCent_ExStr_5	-0.1464
P51	17Networks_LH_VisCent_ExStr_5	0.2162
P52	17Networks_LH_VisCent_ExStr_5	-0.1359
P53	17Networks_LH_VisCent_ExStr_5	-0.3994
P54	17Networks_LH_VisCent_ExStr_5	0.3767
P55	17Networks_LH_VisCent_ExStr_5	-0.6083
P56	17Networks_LH_VisCent_ExStr_5	-0.1609
P57	17Networks_LH_VisCent_ExStr_5	-0.1247
P58	17Networks_LH_VisCent_ExStr_5	-0.1641
P59	17Networks_LH_VisCent_ExStr_5	-0.6946
P60	17Networks_LH_VisCent_ExStr_5	-0.5446
P00	17Networks_LH_VisCent_ExStr_6	0.4720
P01	17Networks_LH_VisCent_ExStr_6	0.5581
P02	17Networks_LH_VisCent_ExStr_6	0.3258
P03	17Networks_LH_VisCent_ExStr_6	0.0987
P04	17Networks_LH_VisCent_ExStr_6	0.0944
P05	17Networks_LH_VisCent_ExStr_6	-0.0304
P06	17Networks_LH_VisCent_ExStr_6	-0.1593
P07	17Networks_LH_VisCent_ExStr_6	0.2681
P08	17Networks_LH_VisCent_ExStr_6	0.3519
P09	17Networks_LH_VisCent_ExStr_6	0.3046
P10	17Networks_LH_VisCent_ExStr_6	0.3875
P11	17Networks_LH_VisCent_ExStr_6	0.1437
P12	17Networks_LH_VisCent_ExStr_6	0.4648
P13	17Networks_LH_VisCent_ExStr_6	-0.0508
P14	17Networks_LH_VisCent_ExStr_6	4.0135
P15	17Networks_LH_VisCent_ExStr_6	0.1915
P16	17Networks_LH_VisCent_ExStr_6	-0.3077
P17	17Networks_LH_VisCent_ExStr_6	0.0740
P18	17Networks_LH_VisCent_ExStr_6	-0.1637
P19	17Networks_LH_VisCent_ExStr_6	0.0215
P20	17Networks_LH_VisCent_ExStr_6	-0.5007
P21	17Networks_LH_VisCent_ExStr_6	-0.1070
P22	17Networks_LH_VisCent_ExStr_6	-0.1350
P23	17Networks_LH_VisCent_ExStr_6	0.2974
P24	17Networks_LH_VisCent_ExStr_6	-0.4299
P25	17Networks_LH_VisCent_ExStr_6	0.2428
P26	17Networks_LH_VisCent_ExStr_6	0.2229
P27	17Networks_LH_VisCent_ExStr_6	0.2509
P28	17Networks_LH_VisCent_ExStr_6	0.2387
P29	17Networks_LH_VisCent_ExStr_6	0.2639
P30	17Networks_LH_VisCent_ExStr_6	0.6619
P31	17Networks_LH_VisCent_ExStr_6	-0.1288
P32	17Networks_LH_VisCent_ExStr_6	0.2342
P33	17Networks_LH_VisCent_ExStr_6	-0.7718
P34	17Networks_LH_VisCent_ExStr_6	0.0274
P35	17Networks_LH_VisCent_ExStr_6	-0.0402
P36	17Networks_LH_VisCent_ExStr_6	-0.5810
P37	17Networks_LH_VisCent_ExStr_6	-0.1203
P38	17Networks_LH_VisCent_ExStr_6	-0.0002
P39	17Networks_LH_VisCent_ExStr_6	0.0724
P40	17Networks_LH_VisCent_ExStr_6	-0.2532
P41	17Networks_LH_VisCent_ExStr_6	-0.1007
P42	17Networks_LH_VisCent_ExStr_6	0.0892
P43	17Networks_LH_VisCent_ExStr_6	0.5043
P44	17Networks_LH_VisCent_ExStr_6	0.4937
P45	17Networks_LH_VisCent_ExStr_6	-0.2659
P46	17Networks_LH_VisCent_ExStr_6	0.0028
P47	17Networks_LH_VisCent_ExStr_6	-0.3117
P48	17Networks_LH_VisCent_ExStr_6	0.3642
P49	17Networks_LH_VisCent_ExStr_6	-0.1803
P50	17Networks_LH_VisCent_ExStr_6	-0.1941
P51	17Networks_LH_VisCent_ExStr_6	-0.0790
P52	17Networks_LH_VisCent_ExStr_6	0.1650
P53	17Networks_LH_VisCent_ExStr_6	0.8658
P54	17Networks_LH_VisCent_ExStr_6	0.3649
P55	17Networks_LH_VisCent_ExStr_6	1.4553
P56	17Networks_LH_VisCent_ExStr_6	0.1662
P57	17Networks_LH_VisCent_ExStr_6	0.2353
P58	17Networks_LH_VisCent_ExStr_6	-0.0063
P59	17Networks_LH_VisCent_ExStr_6	-0.3846
P60	17Networks_LH_VisCent_ExStr_6	-0.3019
P00	17Networks_LH_VisCent_Striate_1	1.9064
P01	17Networks_LH_VisCent_Striate_1	-0.8894
P02	17Networks_LH_VisCent_Striate_1	-0.7806
P03	17Networks_LH_VisCent_Striate_1	-0.1062
P04	17Networks_LH_VisCent_Striate_1	1.0880
P05	17Networks_LH_VisCent_Striate_1	0.6957
P06	17Networks_LH_VisCent_Striate_1	-0.7010
P07	17Networks_LH_VisCent_Striate_1	-0.9700
P08	17Networks_LH_VisCent_Striate_1	0.6783
P09	17Networks_LH_VisCent_Striate_1	0.2796
P10	17Networks_LH_VisCent_Striate_1	-1.5291
P11	17Networks_LH_VisCent_Striate_1	0.1504
P12	17Networks_LH_VisCent_Striate_1	-0.1792
P13	17Networks_LH_VisCent_Striate_1	-0.6861
P14	17Networks_LH_VisCent_Striate_1	-0.7529
P15	17Networks_LH_VisCent_Striate_1	0.9678
P16	17Networks_LH_VisCent_Striate_1	0.6521
P17	17Networks_LH_VisCent_Striate_1	0.0571
P18	17Networks_LH_VisCent_Striate_1	-0.4472
P19	17Networks_LH_VisCent_Striate_1	0.1871
P20	17Networks_LH_VisCent_Striate_1	0.3188
P21	17Networks_LH_VisCent_Striate_1	-0.6875
