signNearest,signNear,signFar,magNearest,magNear,magFar,signXmagNearest,signXmagNear,signXmagFar,v_motion,onset_block,offset_block,shock,Pair,Subject,Group,ROI
0.0508105,0.0446416,0.0134405,0.0768086,-0.0222582,0.0817617,-0.0379975,0.026095,0.0148014,-0.00837306,0.820583,-0.552061,0.667791,2,CON003,control,rPAG1
0.021661,0.0476559,0.000780421,0.0477494,-0.00479718,-0.000245669,-0.0521858,-0.0324586,-0.00934995,0.0113318,0.226453,0.0992176,0.246044,2,CON003,control,lPAG1
0.0191784,0.054461,-0.0327449,-0.0625096,-0.00997703,-0.0052199,-0.0653306,0.025999,0.0270041,-0.0318072,0.251909,0.480797,0.596786,2,CON003,control,rvAI
-0.00279001,0.0420523,0.000403401,0.00332601,-0.0272935,0.0104582,-0.0391136,0.0165679,0.0293796,-0.0330812,0.245801,0.285152,1.06607,2,CON003,control,rdAI
0.0386147,0.0660034,0.0033112,-0.025949,0.0896538,-0.00787512,-0.0197864,0.0336158,0.0217181,-0.00766215,0.656641,0.138769,0.296808,2,CON003,control,lvAI
-0.000900641,0.0750102,-0.0155808,0.00996263,0.00160502,0.0111486,-0.0573831,0.0280434,0.0179468,-0.0269488,0.179431,0.371962,0.934424,2,CON003,control,ldAI
-0.00824792,0.00146196,0.00929701,-0.0045227,-0.0159931,-0.00202091,-0.0174597,0.00629974,0.0261329,-0.0207462,0.317409,-0.0572192,1.12967,2,CON003,control,rPI
-0.0159686,0.00178648,-0.00550548,-0.0128683,-0.0132797,0.0101563,-0.0232081,-0.00286878,0.0177403,-0.0128391,0.0921534,0.174479,0.728637,2,CON003,control,lPI
-0.0264758,0.0536414,-0.0679487,0.0176082,0.0711218,0.0602293,0.0159843,0.0168574,0.0985383,-0.022365,0.51653,0.0189341,0.587932,2,CON003,control,rBNST
-0.0030987,-0.0470162,0.0316654,0.0295981,-0.0167333,0.0647799,-0.0940433,0.0143021,0.0145177,-0.0198035,0.605586,-0.464277,0.291375,2,CON003,control,lBNST
-0.00260278,0.0198266,0.0078958,0.00119516,-0.000524873,0.00845592,-0.0322229,0.00650627,0.0121067,-0.013008,0.183908,0.279153,0.601748,2,CON003,control,ACC
-0.0237831,0.0403231,-0.0241857,-0.0409025,0.0579718,-0.0166116,0.0598912,-0.0214471,0.0291746,-0.0105026,0.661545,-0.266265,-0.462635,2,CON003,control,Amygdala_BLBM_La_R
0.00540619,-0.000202118,0.034366,0.0153246,0.00817234,-0.0291787,-0.00679964,0.0133888,0.019318,-0.0485978,0.450373,0.753248,2.26506,2,CON003,control,Amygdala_CeME_R
-0.0764353,-0.0027329,-0.0383907,-0.0254983,0.00766975,-0.0165856,-0.0741004,0.0725643,0.105808,-0.00642616,0.594014,0.502148,0.64926,2,CON003,control,Amygdala_BLBM_La_L
-0.0248845,0.10454,-0.00879248,-0.0703911,0.00997368,0.0540896,-0.0201995,-0.0165484,0.0233689,-0.0388532,0.478954,0.472488,0.220737,2,CON003,control,Amygdala_CeME_L
-0.00510356,0.0596265,-0.000932024,-0.00257153,-0.00973725,0.011346,-0.0326678,0.0222179,0.0252759,-0.0249196,0.290725,0.289301,0.300094,2,CON003,control,rCa
-0.0173323,0.0268471,0.0019385,-0.0383832,-0.00455416,0.0195127,-0.0200475,-0.00264831,0.0170628,-0.0137173,0.251206,0.129201,0.253448,2,CON003,control,lCa
0.0103383,-0.0203894,0.0349677,0.00600296,-0.025407,-0.00286647,-0.0566009,0.0376404,-0.0107429,-0.022867,1.00457,0.61794,-0.137363,2,CON003,control,rPa
-0.0110417,0.0527879,-0.00746074,-0.00643685,-0.0220326,0.00790555,-0.0252155,0.0154989,0.0288638,-0.0194492,0.278854,0.132268,0.107819,2,CON003,control,lPa
-0.0173323,0.0268471,0.0019385,-0.0383832,-0.00455416,0.0195127,-0.0200475,-0.00264831,0.0170628,-0.0137173,0.251206,0.129201,0.253448,2,CON003,control,rVS
0.0103383,-0.0203894,0.0349677,0.00600296,-0.025407,-0.00286647,-0.0566009,0.0376404,-0.0107429,-0.022867,1.00457,0.61794,-0.137363,2,CON003,control,lVS
0.00536718,-0.011583,0.0145127,0.0129616,-0.0293691,-0.016161,-0.00185464,0.0157565,0.0331526,-0.0025119,0.174092,-0.0758014,-0.0434523,2,CON022,uncontrol,vmPFC
-0.00214953,-0.0116519,-0.0282784,0.0043657,-0.0128042,-0.0614199,0.0138087,-0.000176017,0.0356807,-0.0110486,8.52738e-05,-0.168109,-0.210576,2,CON022,uncontrol,PCC1
0.0135683,0.0594675,0.0166238,0.0257255,-0.0421894,-0.018532,-0.0112289,0.0497268,0.0300516,-0.0186471,0.175638,-0.437538,-0.241739,2,CON022,uncontrol,PCC2
0.00487084,-0.0237363,0.0639026,-0.0137001,-0.0299654,0.0328452,-0.038707,0.0300709,-0.0172283,0.00587052,-0.0774408,0.144711,-0.0252365,2,CON022,uncontrol,rPAG1
-0.0148185,0.0101898,0.0100153,-0.0132505,-0.0479375,0.0119066,0.0239634,0.0862036,0.0164621,0.0337305,0.390639,0.125578,0.0964986,2,CON022,uncontrol,lPAG1
0.0262906,0.00562463,-0.00795243,0.0254261,0.0328068,-0.0144745,-0.0267947,0.0293057,-0.00727374,-0.0187349,0.409901,0.405321,0.616494,2,CON022,uncontrol,rvAI
0.00530586,-0.0145954,0.0124806,0.00102055,0.0211192,-0.00852587,-0.0188539,0.00907761,-0.0152822,-0.0153809,0.348738,0.332708,1.3396,2,CON022,uncontrol,rdAI
0.0332161,0.026564,-0.0250941,0.00529351,0.0451752,-0.0278727,-0.0122463,0.0405505,-0.00706649,-0.0120014,0.256488,0.202098,0.790638,2,CON022,uncontrol,lvAI
0.0138228,0.0174672,-0.00394679,0.0181493,0.00241581,-0.0177642,-0.019652,0.0142935,-0.0185648,-0.00880037,0.257054,0.0865011,0.958028,2,CON022,uncontrol,ldAI
0.0350555,-0.0138629,0.0080835,0.0154576,0.00707874,0.0151529,0.0257189,-0.0183952,-0.00650902,-0.0149499,-0.10226,-0.0320918,0.868456,2,CON022,uncontrol,rPI
0.025745,-0.00509362,-0.00238422,0.00588451,-0.00563346,-0.00321323,0.00824598,-0.0045331,0.00294796,-0.0121266,0.0517951,-0.0348902,0.69838,2,CON022,uncontrol,lPI
0.0711993,-0.0831641,0.0110769,0.00195431,-0.020373,0.0161214,0.0404959,-0.0527076,0.0533272,-0.035476,0.206071,-0.0267042,-0.0530468,2,CON022,uncontrol,rBNST
-0.0192645,0.0325954,-0.0340424,0.0446227,-0.0477704,0.0462445,-0.00697312,0.0728923,-0.0146573,-0.00687899,-0.0762864,-0.13406,0.158643,2,CON022,uncontrol,lBNST
