	Pair	ROI	Y
84	P23	17Networks_LH_VisCent_ExStr_2	-0.40087700000000004
85	P24	17Networks_LH_VisCent_ExStr_2	-0.3386239999999999
86	P25	17Networks_LH_VisCent_ExStr_2	0.20559899999999998
87	P26	17Networks_LH_VisCent_ExStr_2	0.155621
88	P27	17Networks_LH_VisCent_ExStr_2	1.818057
89	P28	17Networks_LH_VisCent_ExStr_2	0.07133
90	P29	17Networks_LH_VisCent_ExStr_2	0.460832
91	P30	17Networks_LH_VisCent_ExStr_2	0.11956
92	P31	17Networks_LH_VisCent_ExStr_2	-0.25525900000000007
93	P32	17Networks_LH_VisCent_ExStr_2	-0.0009279999999999844
94	P33	17Networks_LH_VisCent_ExStr_2	-0.37488999999999995
95	P34	17Networks_LH_VisCent_ExStr_2	0.672299
96	P35	17Networks_LH_VisCent_ExStr_2	-0.223827
97	P36	17Networks_LH_VisCent_ExStr_2	-0.0063389999999999835
98	P37	17Networks_LH_VisCent_ExStr_2	0.04134400000000005
99	P38	17Networks_LH_VisCent_ExStr_2	-0.1405099999999999
100	P39	17Networks_LH_VisCent_ExStr_2	0.020758000000000054
101	P40	17Networks_LH_VisCent_ExStr_2	-0.25037
102	P41	17Networks_LH_VisCent_ExStr_2	-0.4945069999999999
103	P42	17Networks_LH_VisCent_ExStr_2	0.48046599999999995
104	P43	17Networks_LH_VisCent_ExStr_2	0.7832140000000001
105	P44	17Networks_LH_VisCent_ExStr_2	-0.09726000000000001
106	P45	17Networks_LH_VisCent_ExStr_2	-0.391035
107	P46	17Networks_LH_VisCent_ExStr_2	-0.19776499999999997
108	P47	17Networks_LH_VisCent_ExStr_2	-0.5038799999999999
109	P48	17Networks_LH_VisCent_ExStr_2	0.919686
110	P49	17Networks_LH_VisCent_ExStr_2	0.246623
111	P50	17Networks_LH_VisCent_ExStr_2	-0.02779999999999999
112	P51	17Networks_LH_VisCent_ExStr_2	-0.103686
113	P52	17Networks_LH_VisCent_ExStr_2	0.063687
114	P53	17Networks_LH_VisCent_ExStr_2	0.5015270000000001
115	P54	17Networks_LH_VisCent_ExStr_2	0.23576299999999994
116	P55	17Networks_LH_VisCent_ExStr_2	-0.07539700000000005
117	P56	17Networks_LH_VisCent_ExStr_2	0.24796200000000002
118	P57	17Networks_LH_VisCent_ExStr_2	-0.053362999999999994
119	P58	17Networks_LH_VisCent_ExStr_2	0.327894
120	P59	17Networks_LH_VisCent_ExStr_2	0.11010000000000009
121	P60	17Networks_LH_VisCent_ExStr_2	-0.7967769999999998
122	P00	17Networks_LH_VisCent_ExStr_3	0.6020730000000001
123	P01	17Networks_LH_VisCent_ExStr_3	0.002120000000000122
124	P02	17Networks_LH_VisCent_ExStr_3	-0.642051
125	P03	17Networks_LH_VisCent_ExStr_3	-1.421309
126	P04	17Networks_LH_VisCent_ExStr_3	0.45174000000000003
127	P05	17Networks_LH_VisCent_ExStr_3	0.80295
128	P06	17Networks_LH_VisCent_ExStr_3	-0.6189279999999999
129	P07	17Networks_LH_VisCent_ExStr_3	-0.23989319999999997
130	P08	17Networks_LH_VisCent_ExStr_3	0.07493300000000003
131	P09	17Networks_LH_VisCent_ExStr_3	-0.512221
132	P10	17Networks_LH_VisCent_ExStr_3	0.22262000000000004
133	P11	17Networks_LH_VisCent_ExStr_3	0.416847
134	P12	17Networks_LH_VisCent_ExStr_3	-0.24088299999999996
135	P13	17Networks_LH_VisCent_ExStr_3	-0.34040099999999995
136	P14	17Networks_LH_VisCent_ExStr_3	0.04420999999999986
137	P15	17Networks_LH_VisCent_ExStr_3	0.460967
138	P16	17Networks_LH_VisCent_ExStr_3	1.187449
139	P17	17Networks_LH_VisCent_ExStr_3	-0.18023999999999996
140	P18	17Networks_LH_VisCent_ExStr_3	-0.704992
141	P19	17Networks_LH_VisCent_ExStr_3	0.4766539999999999
142	P20	17Networks_LH_VisCent_ExStr_3	-0.3958729999999999
143	P21	17Networks_LH_VisCent_ExStr_3	-0.19084000000000012
144	P22	17Networks_LH_VisCent_ExStr_3	-0.6762699999999999
145	P23	17Networks_LH_VisCent_ExStr_3	-1.1512437999999998
146	P24	17Networks_LH_VisCent_ExStr_3	-0.5980540000000001
